Y;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;X24;X25;X26;X27;X28;X29;X30;X31;X32;X33;X34;X35;X36;X37;X38;X39;X40;X41;X42;X43;X44;X45;X46;X47;X48;X49;X50;X51;X52;X53;X54;X55;X56;X57;X58;X59;X60;X61;X62;X63;X64;X65;X66;X67;X68;X69;X70;X71;X72;X73;X74;X75;X76;X77;X78;X79;X80;X81;X82;X83;X84;X85;X86;X87;X88;X89;X90;X91;X92;X93;X94;X95;X96;X97;X98;X99;X100
4,884950271;5,854551667;-0,599019079;-6,962035093;5,411362843;-1,292228498;4,787604913;-4,432997613;5,966098755;0,698824436;11,30586842;-5,635526161;-11,8088996;-3,14765951;10,9747431;-13,69215787;-6,625523146;15,68122512;1,069680369;3,051686699;15,04966571;-11,90179629;-5,706942289;7,931413845;-0,627026943;7,593115521;-6,5130576;15,25731084;-3,778458752;11,09271043;8,134730452;-9,685473783;7,698757389;-6,680598633;10,06248733;-7,890386047;3,823223805;-5,887709086;-11,66683344;10,97130532;-4,957765017;-1,170454157;-0,982031034;14,2403658;-23,48863109;;-21,32954387;3,836937198;2,332292458;-8,20313502;13,67858515;-7,656127027;24,34058412;6,387909302;2,056244909;12,46962215;15,27036785;1,62531215;18,22519841;-3,104361412;11,77880833;3,522001917;-15,26936424;1,832174296;7,089345725;6,237229937;6,540096586;-13,47602995;8,30535209;3,760786305;-21,54685505;-1,441367658;4,524697014;11,93267088;-17,82465127;-4,362811807;-10,27321376;-6,537285744;16,73949153;-7,345176146;-2,248008392;-8,209855229;-6,2235309;-3,178978994;19,53933444;-1,151570566;-1,551271952;22,61443498;-11,11056584;-2,193296519;-13,87438323;-0,370047763;-15,50202771;9,863466946;-11,25400356;-5,098403993;3,356703556;-12,75939008;4,091033447;0,825920535;C
8,597613446;5,834185217;-5,069787112;-7,325954697;-1,067719961;-0,264431458;5,403585654;-4,738609513;6,098812294;0,576960841;11,90319431;-4,495395276;-12,2732081;-3,47912089;9,939897724;-12,89485032;-10,8869668;15,41562519;-0,822303781;2,94928148;15,07626197;-11,64359332;-4,871101563;5,163513701;-0,993333005;6,782567378;-6,667510988;13,62393871;-3,538601545;8,696697127;7,043001153;-8,869671139;5,512090994;-6,132186437;8,413810303;-7,137723236;6,139522814;-7,262640733;-2,13579993;8,73870575;-5,037550922;-1,217117239;5,838969923;15,19069364;-23,52507502;17,43946328;-21,98819673;3,586748803;2,560313704;-8,236144953;12,32227788;-4,992568443;22,93100028;5,47094039;4,568742608;-4,291760554;12,18204105;1,806332004;18,46919066;-6,973290932;11,03710012;4,200406317;-16,5982348;1,070870161;9,1181379;5,88171893;7,634413937;-7,309586583;4,938081232;5,142756469;-18,4143477;;0,000793572;12,35703366;-18,23796335;-4,389783322;-8,573141796;-9,430369308;18,81879102;-5,949087;-1,449395968;-12,61672018;-6,202635968;-0,495580972;19,39923275;0,454549151;-0,757452266;23,15617833;-11,81310944;-2,806079524;-13,99295403;0,079996402;-8,692386009;;-8,612050522;-3,241507707;-0,325302103;-11,97130769;3,778243188;0,947609375;C
5,449845389;7,211454895;-5,559351769;-7,260063078;2,998604267;-0,831304734;5,006759441;-4,331900682;5,909873389;0,098686284;12,51884619;-5,968498751;-11,54969887;-3,215345268;10,16925569;-13,17670447;-10,21031422;15,6630982;2,660092036;10,89726105;15,08100383;-12,56957552;-5,65784493;11,62146495;-1,681576485;8,541702406;-5,638248667;15,69778079;-3,957251972;11,24253831;15,14733085;-9,813631775;5,851834645;-11,32239414;9,874118292;-6,490604739;4,061734893;-5,935138602;-5,581901484;9,614633881;-1,617433925;-1,030449999;-3,349472917;15,28639595;-28,51876501;17,7404766;-21,58754279;3,544117712;2,783996337;-7,398723028;14,43599451;-9,281550949;20,52381592;6,07830725;1,924151525;12,35123694;12,00810397;3,402214744;18,83893098;-8,529579193;11,79544148;3,53586899;-15,70998909;1,303436239;9,774884374;5,932504322;6,223756361;-9,638845471;11,02327947;4,832750526;-19,96168817;-1,64307607;6,307933713;12,07173401;-18,15840831;-4,560326438;-10,35267918;-6,714493686;19,30926294;-7,506107919;-1,373972204;-7,628309744;-6,324881238;-0,722839846;19,95814137;-2,026058532;-2,734060339;21,95696855;-7,821126309;-1,839588097;-14,14879344;0,003089137;-11,80153239;13,02482924;-9,126625689;-4,958279212;0,835390222;-13,03043609;;0,826979457;A
4,984638696;6,980273372;-4,733673181;-7,293778933;-6,43128064;-0,588309078;5,447026008;-4,681326849;6,212692306;-0,414022937;11,27791477;-5,806890218;-11,8624689;-3,689411742;9,283324566;-15,00774245;-12,77425096;;-0,814101412;12,30301449;15,05152726;-10,94696484;-5,208256854;7,320752597;-0,414856086;7,550192978;-6,282868744;;-3,844805218;10,90637799;4,792710247;-9,735867308;7,073263555;-0,559944599;8,654176965;-4,838263031;1,075921008;-8,972487264;-5,977186515;10,86179907;-6,158428476;-0,408418912;2,792654347;16,1529582;-16,41327584;17,32081393;-21,02263218;3,932182244;;-6,901978685;14,5596312;-7,994965107;22,60541558;5,816085684;3,260957336;5,761530464;10,53056246;1,681246294;19,30272907;-9,798258548;11,26156178;3,699008376;-13,98507682;1,650538715;9,258792612;;7,245093555;-11,90013937;7,60619569;4,713696935;-14,90423711;-0,186581406;0,559369874;11,98731502;-18,10454286;-3,650015526;-10,23499352;-12,18834502;18,93525791;-5,854373001;-1,232779635;-6,026227339;-5,8186412;1,880690171;19,86688479;2,46479275;-3,230162577;23,47617722;-11,73821279;-2,499694775;-13,79321921;-0,417652496;-12,76150859;11,2622368;-9,917258258;-5,10441821;-1,609929372;-11,9379187;3,950815937;;C
-0,399086295;5,41771629;-5,108127405;-6,625268278;0,741967867;-0,947664361;4,959496447;-4,768148004;5,956337678;0,355515691;11,92921258;-5,027397609;-11,34059327;-3,149002375;11,16243931;-15,05499581;-12,82552277;16,01984458;-2,803312874;-3,189736004;14,81711928;-11,8404313;-8,288795533;10,41205458;-0,249082026;7,405212117;-5,548438895;16,15768726;-3,994884029;10,83192023;7,478750717;-9,759640055;7,040499287;3,741483976;9,72287763;-8,430584244;3,791645901;-7,187570981;-9,724420389;8,991446631;-4,770292844;-0,542497607;1,11653125;16,58687546;-19,79712256;17,80926182;-22,47821441;4,120119632;3,718865237;-8,211357996;15,35916231;-8,544217242;23,40943324;6,702719062;3,743430198;6,773723595;10,72995848;1,101121883;18,63443216;-2,353623949;10,41592476;4,044115799;-17,90779248;-1,083734431;8,044030533;6,973497596;7,531998082;-1,361844063;6,181250636;4,433158937;-25,55559233;-0,986962151;-0,418012607;12,08396449;-17,58504398;-4,255270614;-10,35258871;-8,763044934;20,35328557;-7,737777945;;-6,63974144;-6,638436544;-2,709872143;20,88285253;-0,028189856;-2,174447171;23,50788034;-13,86607663;-1,640133739;-14,35033918;-0,653891637;-9,994210209;10,78540196;-11,0863005;-8,708650053;1,908688846;-12,40648103;3,741120344;1,094500447;B
3,940996436;10,20090135;-7,670030195;-6,885497199;-2,381893839;-1,383991561;4,909655279;-4,064015791;6,02408113;0,471866262;12,30654016;-6,911133354;-11,92993933;-2,779232319;8,136250642;-13,25891494;-11,57212812;15,27618457;18,37146792;2,312742597;14,95987342;-11,68992985;-3,428117219;4,145372236;-0,980381316;5,616814401;-6,615335016;14,46392847;-3,630383438;8,964715091;8,327603531;-9,184383818;11,21783644;10,89053542;10,11100008;-9,720056304;5,691265646;;-6,517642954;10,46036467;-6,582556366;-0,238150996;-3,96917723;14,82725802;-20,91040844;19,36048336;-21,33413867;5,07637584;6,683971054;-8,201820399;12,63288735;-5,781241403;22,8166963;6,052422423;3,165514354;6,888229235;9,675721635;3,121511774;18,64284885;-4,115262492;11,01926715;3,838294514;-12,25719972;0,576151931;9,361196808;6,001540573;1,249029315;-5,256896979;7,035359245;5,252672473;-16,72764159;-2,350115;4,681676802;12,16265283;-18,05400457;-4,63498951;-9,93632212;-7,38206566;18,46827724;-6,856754627;-2,394227392;-2,996552035;-6,616370557;1,405319914;19,66040011;1,569173632;-0,697242068;24,78849793;-12,20214651;-2,511140906;-14,20594503;-0,998288306;-8,400006831;11,2745633;-13,87076198;-9,180533185;4,427552817;-11,89133015;3,585155915;0,966699576;A
2,75711731;6,895770222;-3,577088745;-7,126876024;1,397564719;-0,882974844;5,134512364;-5,9123003;5,723230101;0,352624926;12,77702671;-6,219277656;-12,0817214;-3,377850153;9,296153263;-15,08349689;-13,11190118;15,95609779;5,907934804;-7,189106806;15,05316266;-12,29358309;-6,391717464;7,090143956;-1,07428625;7,889102784;-5,799394568;14,80306555;-3,890969984;;-0,068251333;-9,900228541;4,351829406;-2,129335665;9,632029335;-8,628603813;6,2102258;-8,147138046;-4,455107849;9,774576148;-4,363297741;-1,536979253;-5,832830489;16,01416025;-18,35419875;18,21405456;-21,34105316;3,939570376;3,404811188;-8,333846355;14,76567754;-7,760265013;20,50086151;6,826985582;3,202376502;15,59373604;12,23147754;2,371651038;19,70060397;-3,195806614;10,60482243;3,60792508;-14,44130291;0,946694096;8,343327458;5,882605306;4,072788429;-6,663410239;10,84262566;5,129675273;-20,74711108;-0,831199272;1,424527336;12,29967676;-17,77392454;-3,821942547;-9,386680858;-9,558092924;17,41008466;-8,866174022;-1,3591713;-5,206748099;-6,188533755;0,406694137;19,11731101;-0,491383881;-1,690895843;25,43713208;-12,04166701;-1,832180923;-14,54003324;-0,35486219;-10,2614619;11,38597748;-10,12179252;-9,096130579;;-12,29594571;4,155364651;0,879308913;A
2,677028264;4,865382523;-3,637059133;-7,34201076;5,769316335;-1,175360634;4,900110012;-6,229444922;5,959146308;0,505640344;12,53553608;-6,216036309;-11,7141178;-2,506009183;8,692012694;-13,03771057;-11,8731819;15,21575647;-4,294030984;15,76660122;15,0967632;-12,71429446;-5,195911376;13,54170736;-0,927547935;6,799022788;-5,976711508;14,994268;-3,861543481;11,4359108;9,465517663;-10,03511217;5,372202628;-10,89569125;9,547850861;-5,19167013;6,636641137;-5,79410197;-6,330629797;10,26955202;-3,374043164;-2,527266657;1,809597906;14,65674829;-23,3282146;17,50837258;-21,92760241;4,609033987;5,33021274;-8,190397197;14,08632033;-9,223167569;21,79563592;5,883453269;2,208646745;-4,601649441;6,875590491;-0,285004219;18,73307128;-9,544464192;10,42194873;4,231017609;-20,50986019;1,205956995;8,703668441;6,589168599;2,86610697;-8,593762513;10,59560372;4,479331635;-26,61076162;-1,302303083;-0,663657212;12,03653547;;-4,015241863;-10,65472081;-9,20074388;18,66915477;-9,715693296;-0,97596222;-19,23747695;-6,444004288;0,842632575;18,87893019;-1,605975694;-0,651150219;24,57890651;;-2,633148714;-14,13399383;0,610687859;-10,29805656;13,37709837;-13,29707544;-6,860503517;-0,210346818;-12,97017848;3,45082328;0,987608726;B
6,391538722;6,584812479;-0,975936753;-7,220873377;3,773621122;-1,255023362;5,134750182;-4,530266692;6,03327635;-0,234945062;12,15138429;-6,46177313;-11,36686458;-2,268672444;9,399534896;-14,03651842;-11,15344842;15,39488724;13,47058705;6,069296623;15,39643581;-12,21101812;-6,361602302;6,647459376;-1,394852889;6,832006027;-6,275870182;13,69431304;-3,887331583;10,30525723;3,626651048;-9,829905275;7,740122912;-4,131489714;8,987391684;-5,93231709;6,167732823;-7,379669034;-10,81642904;11,22356578;-4,002548983;-0,61828618;-3,578632791;15,43855408;-26,29500885;19,14516677;-21,75326064;4,572418485;4,136517191;-8,386298108;16,45244954;-9,128899778;20,38037006;6,389711573;2,033266037;13,34651935;11,26543285;0,229499548;19,5266483;-12,03092021;11,77726075;4,282289239;-18,98785162;-0,23336649;9,334713789;6,448197367;3,659883286;-8,97026462;4,907759513;5,357849715;-22,29172297;-0,773956997;2,807153945;11,75936681;-18,00143636;-4,581205658;-10,10899298;-9,899174777;19,46426717;-6,231095699;-1,544371932;-11,3252298;-6,216796805;-0,361687454;19,63665149;2,106942881;0,147730763;23,42737492;-11,18233328;-1,701934731;-13,82179407;-0,767142112;-10,55548266;10,57338226;-7,793767216;-9,982352242;1,361195838;;3,57664431;1,106518473;C
4,493293908;6,160498478;-6,323550443;-7,004574473;10,12746638;-0,993347461;5,159839152;-4,78956486;5,991572687;0,358136383;12,30241908;-5,918144425;-10,80329807;-2,302148256;7,85563905;-14,94548913;-7,068656845;15,57668127;7,719781727;-4,151990672;14,94261945;-11,4536035;-5,427915238;13,99451841;-0,359151006;5,585992875;-7,193226143;14,64858984;-3,816995927;9,867581882;;-9,601453636;7,195140921;-12,11555238;8,751277814;-10,67282658;6,28762847;-10,73748976;-3,727764594;10,58047732;-1,769947312;-3,495738388;-0,317317273;15,7827616;-18,4669416;18,50152136;-21,69563046;3,896113087;4,781400478;-7,799175449;14,77994124;-8,383139747;25,61013815;6,200328278;3,040080148;25,930632;14,7515613;0,555432924;19,11634434;;11,70020882;3,681024455;-19,93175647;-0,020552256;7,271474736;5,708243512;2,956059349;-2,258631681;13,28573933;4,878484567;-18,68583434;-1,922270275;6,335312874;12,26256595;-17,7380161;-4,788842047;-9,241235691;-10,05304014;14,87978403;-7,026986713;-2,0503227;-13,75664384;-5,627055527;-2,232223282;18,60963273;1,385116682;0,292480996;23,61492733;-9,883047228;-2,272803094;-14,29924382;-0,084143375;;12,11073937;-10,86184216;-5,983460718;0,452463143;-12,54299566;3,939416408;1,013536481;C
